fromstopname,route_name,Count of total passengers
Patnipura,M-11,159
Patnipura,M-25,330
Patnipura,M-36,255
Patnipura,R-17,104
Patrakar Colony,E-3,46
Patrakar Colony,R-9,132
Patwa,M-26A,3
Pawanpuri Colony Or S R Pump,C-4(M-34),16
Pawanpuri Colony Or S R Pump,M-27,261
Pawanpuri Colony Or S R Pump,N-5,27
Pawanpuri Colony Or S R Pump,R-5,317
Phooti Kothi Chouraha,M-27,847
Phooti Kothi Square,E-1,57
Phooti Kothi Square,E-3,286
Phooti Kothi Square,E-5,338
Phooti Kothi Square,R-9,493
Pink City,C-4(M-34),7
Pipli Bazar,C2-(16),74
Pipli Bazar,M-22 A,12
Piplyahana Square,C-4(M-34),398
Piplyahana Square,Indore-Hoshangabad,7
Piplyahana Square,M-27,962
Piplyahana Square,M-29,339
Piplyahana Square,N-12,62
Piplyahana Square,N-5,239
Piplyahana Square,R-5,1027
Pirkaradiya,M-26,15
Pitra Parvat,C-3,4
Pitra Parvat,E-1,55
Pitra Parvat,M-24B,37
Pitra Parvat,M-37,9
Pitra Parvat,N-13,11
Pivday,M-23,7
Polo Ground,M-29,36
Power House,C-3,11
Power House,M-19,39
Power House,M-29,5
Power House,M-4,48
Power House,M-6,223
Power House,N-5,14
Power House Dudhiya,M-22,44
Prabhu Toll Kata,M-22,85
Prabhu Toll Kata,M-22 A,83
Prabhu Toll Kata,M-23,2
Prabhu Toll Kata,R-17,49
Prakash Nagar,M-22,116
Prakash Nagar,M-22 A,21
Prakash Nagar,M-23,22
Prakash Nagar,R-17,25
Pratiksha Dhaba,M-27,196
Pratiksha Dhaba,N-12,14
Prem Nagar,M-11,14
Prem Nagar,M-35,17
Prem Nagar,R-5,57
Pushpkunj Hospital,M-19,42
Pushpkunj Hospital,M-4,13
Pushpkunj Hospital,M-6,131
Pushpkunj Hospital,N-5,31
Pushpratan Park,M-29,63
Radha Swami,C-3,22
Radha Swami,M-19,103
Radha Swami,M-4,792
Radha Swami,M-6,2251
Radha Swami,N-5,83
Raj Mohalla Chowk,C2-(16),126
Raj Mohalla Chowk,E-1,96
Raj Mohalla Chowk,E-3,44
Raj Mohalla Chowk,E-5,205
Raj Mohalla Chowk,M-11,56
Raj Mohalla Chowk,M-22 A,134
Raj Mohalla Chowk,M-24B,39
Raj Mohalla Chowk,M-4,84
Rajdhara,M-23,1
Rajendra Nagar,E-4,143
Rajendra Nagar,M-20,32
Rajendra Nagar,M-20A,18
Rajendra Nagar,M-35,119
Rajendra Nagar,N-12,6
Rajgarh,Indore-Jhabhua,5
Rajgarh,Jhabhua-Indore,5
Rajiv Gandhi Chouraha,M-27,618
Rajiv Gandhi Chouraha,N-12,58
Rajkumar Bridge,M-11,24
Rajkumar Bridge,M-17,1
Rajkumar Bridge,M-26A,1
Rajwada Circle,C-1,645
Rajwada Circle,C-4(M-34),695
Rajwada Circle,M-20,231
Rajwada Circle,M-20A,100
Rajwada Circle,M-25,410
Rajwada Circle,M-29,302
Rajwada Circle,M-35,737
Rajwada Circle,M-36,584
Rajwada Circle,M-6,2175
Rajwada Circle,R-4,411
Rajwada Circle,R-9,688
Ram Bagh,C-4(M-34),2
Ram Bagh,E-3,10
Ram Bagh,M-11,19
Ram Pipliya,M-26A,27
Rambali Square,M-29,34
Ramchandra Pump Or A P T C,E-1,211
Ramchandra Pump Or A P T C,M-24B,38
Rani Sati Garden,M-25,6
Rani Sati Garden,R-17,15
Ranjeet Hanuman Mandir,E-1,100
Ranjeet Hanuman Mandir,E-3,71
Ranjeet Hanuman Mandir,E-5,139
Ranjeet Hanuman Mandir,R-9,234
Rasoma Chauraha,R-17,16
Rau Bus Stop,M-35,278
Rau Bypass,M-35,73
Rau Rangwasa Chourah,M-20,141
Rau Rangwasa Chourah,M-20A,48
Regal Square,C-1,202
Regal Square,C-4(M-34),16
Regal Square,E-3,156
Regal Square,M-22 A,60
Regal Square,M-25,120
Regal Square,M-29,10
Regal Square,M-36,5
Regal Square,R-17,50
Regal Square,R-9,304
Relax Garden Or Krishna Kunj Gate,E-1,32
Relax Garden Or Krishna Kunj Gate,E-3,21
Relax Garden Or Krishna Kunj Gate,R-9,110
Renaissance College,M-36,43
Reti Mandi,E-4,40
Reti Mandi,R-4,48
Reti Mandi Ab Road,E-4,24
Reti Mandi Square,M-20,12
Reti Mandi Square,M-20A,5
Reti Mandi Square,N-12,4
Rewati Range,E-5,28
River Side Or Krishnapura Pull,C-4(M-34),7
River Side Or Krishnapura Pull,M-22 A,3
River Side Or Krishnapura Pull,M-36,1
Roberts Nursing Home,C-4(M-34),6
Roberts Nursing Home,M-29,18
Royal Bangla,M-17,68
Royal Bangla,N-13,34
Royal Bangla,R-17,14
Royal Bangla,R-4,12
Royal Bangla,R-5,141
Royal Bungalow,M-25,51
Rto Office,C-4(M-34),67
Ruchi Soya,M-17,34
Ruchi Soya,M-26,85
Ruchi Soya,M-26A,14
Ruchi Soya,N-5,37
Sadar Bazar,C-4(M-34),1
Sadar Bazar Water Tank,C-4(M-34),5
Sai Niwas,E-1,51
Sai Niwas,E-3,23
Sai Niwas,R-9,94
Saifee Nagar,M-11,52
Saifee Nagar,M-35,75
Saifee Nagar,R-5,259
Saify Square,C2-(16),199
Salkanpur,Hoshangabad-Indore,1
Sanawadiya,M-23,7
Sanchar Nagar,N-12,9
Sanchar Nagar,R-9,144
Sangam Nagar Road,M-4,120
Sanghi,M-17,52
Sanghi,M-26,15
Sanghi,M-26A,3
Sanghi,N-5,20
Sanghi,R-4,16
Sanjay Setu,C2-(16),207
Sanjay Setu,M-22 A,10
Sanjay Setu,M-29,34
Sanwer,M-26A,33
Sapera Colony,M-19,31
Sapna Sangeeta,E-4,102
Sarangpur,Indore-Narsingarh Via Biaora,8
Sarangpur,Narsingarh-Indore Via Biaora,11
Sarthak Industry Sindhi Baroda,M-22,31
Sarwate Bus Depot,M-22,6
Sarwate Bus Depot,M-22 A,31
Sarwate Bus Depot,M-29,8
Sarwate Bus Depot,R-17,4
Satya Sai Square,M-17,90
Satya Sai Square,M-25,242
Satya Sai Square,M-26,29
Satya Sai Square,M-26A,18
Satya Sai Square,N-13,21
Satya Sai Square,R-4,38
Satya Sai Square,R-5,349
Sayaji Petrol Pump,M-17,34
Sayaji Petrol Pump,M-25,83
Sayaji Petrol Pump,M-26,8
Sayaji Petrol Pump,M-26A,8
Sayaji Petrol Pump,N-13,183
Sayaji Petrol Pump,R-17,2
Sayaji Petrol Pump,R-4,49
Sayaji Petrol Pump,R-5,126
Scheme No 140,M-29,6
Scheme No 140 Jmb,M-29,9
Scheme No 51 Square,M-29,53
Scheme Number 78,M-17,48
Scheme Number 78,M-26,22
Scheme Number 78,M-26A,5
Scheme Number 78,R-4,24
School Of Pharmacy,M-27,12
School Of Pharmacy,N-12,3
School Of Pharmacy,N-5,7
School Of Pharmacy,R-5,58
Semliya Chau,M-37,55
Sewa Kunj,M-37,20
Sewa Kunj,R-9,171
Shajapur,Indore-Narsingarh Via Biaora,8
Shajapur,Narsingarh-Indore Via Biaora,8
Shalby Hospital,M-36,97
Shalimar Township,M-17,26
Shalimar Township,M-26,9
Shalimar Township,R-4,21
Shangri La,R-4,1
Shanti Nagar,C-4(M-34),26
Shanti Nagar,M-27,128
Shanti Nagar,N-12,14
Shanti Nagar,N-5,60
Shanti Nagar,R-5,184
Shastri Bridge,M-26A,17
Shell City,M-19,105
Shikshak Nagar,E-1,305
Shikshak Nagar,M-24B,50
Shiv Chowk Rangwasa,M-20,55
Shiv Chowk Rangwasa,M-20A,16
Shiv Mandir 8 Meel,M-22,25
Shiv Shakti Nagar,R-9,61
Shivaji Vatika,M-22,95
Shivaji Vatika,M-22 A,138
Shivalik Parishar,M-29,61
Shivnagar Chouraha,M-23,6
Shramik Colony,M-35,107
Shree Krishna Talkies,C-1,103
Shree Krishna Talkies,C-4(M-34),6
Shree Krishna Talkies,E-3,28
Shree Krishna Talkies,M-22 A,86
Shree Krishna Talkies,M-25,42
Shree Krishna Talkies,M-36,45
Shree Krishna Talkies,R-9,44
Shree Krishna Talkies Or Krishn Pura Or Sanjay Setu,C-1,3
Shree Krishna Talkies Or Krishn Pura Or Sanjay Setu,E-3,31
Shree Krishna Talkies Or Krishn Pura Or Sanjay Setu,M-22 A,32
Shree Krishna Talkies Or Krishn Pura Or Sanjay Setu,M-36,3
Shree Krishna Talkies Or Krishn Pura Or Sanjay Setu,R-9,9
Shree Vinayak,M-29,21
Shreenath Colony,M-4,48
Shri Vaishnav Dham,M-29,17
Shri Vidya Dham,M-24B,29
Shubha City,C-4(M-34),25
Shyam Heights,M-29,100
Siddhipuram,R-4,19
Silicon City,E-4,585
Silicon City Gate,M-35,55
Silver Springs,C-4(M-34),46
Simrol,M-19,148
Sindhi Colony,E-4,87
Sindhi Colony,M-24B,33
Sindhi Colony,M-4,199
Sindhi Colony,M-6,664
Sirpur,C2-(16),102
Smriti Talkies,E-3,3
Smriti Talkies,M-11,12
Sonkatch Bus Stand,Ashta-Indore,24
Sonkatch Bus Stand,Indore-Ashta,5
Spring Valley,R-9,38
St Norbert School,M-20,31
St Norbert School,M-20A,3
Star Square,C-1,15
Subhash Nagar,M-17,24
Subhash Nagar,M-26,2
Subhash Nagar,M-35,27
Subhash Nagar,R-4,31
Sukhliya,C-4(M-34),22
Sukhliya,E-5,39
Sukliya,M-17,22
Sukliya,N-13,14
Sukliya,R-17,24
Sukliya,R-4,22
Sukliya,R-5,198
Summer Park,M-25,111
Sun City,M-25,66
Sun City,N-13,3
Sunidhi Tol Kanta,M-22,35
Super Corridor,E-1,66
Super Corridor,N-13,11
Suraj Bali Nagar,M-4,101
Surya Dev Nagar,E-1,11
Surya Dev Nagar,R-9,45
Surya Mandir,M-20,50
Surya Mandir,M-20A,19
Swami Vivekanand College,M-19,14
Talawali Chanda,R-4,17
Talawali Chanda Panchayat,M-17,28
Talawali Chanda Panchayat,M-26,7
Talawali Chanda Panchayat,M-26A,2
Talawali Chanda Panchayat,N-5,16
Tantya Bheel Chouraha,C-3,137
Tantya Bheel Chouraha,M-23,1
Tantya Bheel Chouraha Police Station,M-19,485
Tantya Bheel Chouraha Police Station,M-4,1382
Tantya Bheel Chouraha Police Station,M-6,3269
Tantya Bheel Chouraha Police Station,R-5,1745
Tantya Bheel Chouraha Tempo Stand,M-24B,377
Tantya Bheel Chouraha Tempo Stand,M-37,50
Tata Tower And Godown,M-17,49
Tata Tower And Godown,M-26,8
Tata Tower And Godown,M-26A,11
Tata Tower And Godown,N-5,40
Tata Tower And Godown,R-4,19
Tcs Square,N-13,176
Teen Imli,C-4(M-34),261
Teen Imli,E-4,656
Teen Imli,M-22,782
Teen Imli,M-22 A,847
Teen Imli,M-23,35
Teen Imli,M-27,1576
Teen Imli,M-37,18
Teen Imli,N-12,151
Teen Imli,N-5,581
Teen Imli,R-17,79
Teen Imli,R-5,1885
Teen Puliya,M-11,12
Tejaji Chowk,C-4(M-34),48
Tejaji Nagar,C-3,338
Tejaji Nagar,M-19,185
Tejaji Nagar,M-4,462
Tejaji Nagar,M-6,1426
Tejaji Nagar,N-5,174
Telephone Nagar,R-9,83
Tigariya Badshah,M-29,60
Timber Market,C2-(16),53
Tirupati Nagar Or Patel Nagar,E-1,41
Tirupati Nagar Or Patel Nagar,M-24B,16
Todi,M-26A,3
Toll Naka,E-5,23
Toll Naka,M-26,12
Toll Naka,N-5,4
Tower Chouraha,E-4,136
Tower Chouraha,M-24B,53
Tower Chouraha,M-4,233
Tower Chouraha,M-6,558
Treasure Island,E-3,43
Treasure Island,R-9,42
Trenching Ground Indore,M-22,13
Trimala Pride,R-17,7
Triveni Square,M-29,34
Tulsi Nagar,M-25,33
Tulsi Nagar,N-13,8
Udankhedi,Indore-Narsingarh Via Biaora,1
Udyog Nagar,M-22,33
Udyog Nagar,M-22 A,89
Udyog Nagar,M-23,7
Udyog Nagar,R-17,13
Ujjaini,M-23,2
Umaria Phata,M-22,14
Umiya Girls College,M-20,39
Umiya Girls College,M-20A,16
Umri Kheda,M-19,146
Usha Nagar Or Dashera Maidan,E-1,144
Usha Nagar Or Dashera Maidan,E-4,169
Usha Nagar Or Dashera Maidan,M-20,31
Usha Nagar Or Dashera Maidan,M-20A,6
Usha Nagar Or Dashera Maidan,R-4,80
Vaibhav Nagar,R-9,96
Vaishali Nagar,E-4,68
Vaishali Nagar,M-20,16
Vaishali Nagar,M-20A,4
Vaishali Nagar,R-4,37
Vaishnav Collage,E-5,221
Veena Nagar,M-17,24
Veena Nagar,M-35,53
Veena Nagar,R-4,45
Velocity Talkies,M-27,113
Velocity Talkies,N-5,15
Velocity Talkies,R-5,118
Vidhyanjali School,C2-(16),16
Vijay Nagar,R-17,63
Vijay Nagar Police Chowki,M-17,104
Vijay Nagar Police Chowki,M-25,87
Vijay Nagar Police Chowki,M-26,7
Vijay Nagar Police Chowki,N-13,9
Vijay Nagar Police Chowki,R-4,34
Vijay Nagar Police Chowki,R-5,347
Vijay Nagar Police Station Or Mangal City,R-4,29
Vijay Nagar Zonal,M-17,23
Vijay Nagar Zonal,M-25,99
Vijay Nagar Zonal,M-26,8
Vijay Nagar Zonal,M-26A,3
Vijay Nagar Zonal,N-13,31
Vijay Nagar Zonal,R-17,30
Vijay Nagar Zonal,R-4,180
Vijay Nagar Zonal,R-5,988
Vikas Pradhikaran,M-29,24
Visranti Chauraha,M-17,25
Visranti Chauraha,M-26A,2
Visranti Chauraha,M-35,8
Visranti Chauraha,R-4,25
Vrindavan Colony,C-4(M-34),25
White Church,C-3,3
White Church,C-4(M-34),31
White Church,M-29,34
White Church Chauraha,C-4(M-34),127
White Church Chauraha,M-29,144
White Church Or Shivaji Park,C2-(16),576
Yadav Dharmashala,M-4,137
Zam Zam Chauhara,C-1,161
Zoo,M-22,25
Zoo,M-22 A,15
Zoo,R-17,15
